id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name
nifty_2,2010-01-11,"US gold ends up on dollar drop, near 5-week high",Fall,-0.0093,48,gold end dollar drop near week high,35,7,6,precious metals
nifty_2,2010-01-11,"PRECIOUS-Gold mostly unchanged, currency moves eyed",Fall,-0.0093,51,precious gold mostly unchanged currency move eyed,49,7,6,precious metals
nifty_2,2010-01-11,Boston Properties CEO Dies,Fall,-0.0093,26,boston property ceo dy,22,4,8,other
nifty_3,2010-01-12,"PRECIOUS-Gold mostly unchanged, currency moves eyed",Rise,0.0084,51,precious gold mostly unchanged currency move eyed,49,7,6,precious metals
nifty_3,2010-01-12,REFILE-RUSAL sets minimum entry for IPO investors,Rise,0.0084,49,refile rusal set minimum entry for ipo investor,47,8,5,other
nifty_3,2010-01-12,Oce scraps dividend amid new opposition to Canon bid,Rise,0.0084,52,oce scrap dividend amid new opposition canon bid,48,8,3,quarterly results (2)
nifty_3,2010-01-12,Capital Markets Executives at Leading Investment Banks Predict 25 Percent Growth for U.S. IPO Market in 2010 According to BDO Study,Rise,0.0084,131,capital market executive leading investment bank predict percent growth for ipo market according bdo study,106,15,5,other
nifty_3,2010-01-12,"Goldman, RBS win Pets At Home IPO mandate -sources",Rise,0.0084,50,goldman rb win pet home ipo mandate source,42,8,5,other
nifty_3,2010-01-12,US gold turns slightly higher as dollar weakens,Rise,0.0084,47,gold turn slightly higher dollar weakens,40,6,6,precious metals
nifty_3,2010-01-12,Gold falls 2 percent as China hikes bank reserves,Rise,0.0084,49,gold fall percent china hike bank reserve,41,7,6,precious metals
nifty_3,2010-01-12,"US platinum ETF holdings at 80,000 ounces Monday",Rise,0.0084,48,platinum etf holding ounce monday,33,5,6,precious metals
nifty_3,2010-01-12,"AUTOSHOW-Tesla 'aspires' to IPO, no comment on timing",Rise,0.0084,53,autoshow tesla aspires ipo comment timing,41,6,5,other
nifty_3,2010-01-12,Corporate jets get some U.S. bank execs to Capitol Hill,Rise,0.0084,55,corporate jet get some bank exec capitol hill,45,8,9,aviation industry
nifty_3,2010-01-12,Corporate jets get some bank execs to Capitol Hill,Rise,0.0084,50,corporate jet get some bank exec capitol hill,45,8,9,aviation industry
nifty_3,2010-01-12,Singapore's Tiger Air to raise up to $178 mln from IPO,Rise,0.0084,54,singapore tiger air raise mln from ipo,38,7,5,other
nifty_3,2010-01-12,PRECIOUS-Gold flat after tumble on China bank steps,Rise,0.0084,51,precious gold flat after tumble china bank step,47,8,6,precious metals
nifty_3,2010-01-12,Delta Raises Baggage Fees,Rise,0.0084,25,delta raise baggage fee,23,4,9,aviation industry
nifty_4,2010-01-13,Gear Malfunction Suspected in United Jet Incident,Neutral,0.0027,49,gear malfunction suspected united jet incident,46,6,9,aviation industry
nifty_5,2010-01-14,UC RUSAL IPO fully subscribed by investors-sources,Fall,-0.0112,50,rusal ipo fully subscribed investor source,42,6,5,other
nifty_5,2010-01-14,UPDATE 1-UC RUSAL IPO fully subscribed by investors-sources,Fall,-0.0112,59,update rusal ipo fully subscribed investor source,49,7,5,other
nifty_5,2010-01-14,REFILE-DEALTALK-Consumer gloom puts UK retail IPOs at risk,Fall,-0.0112,58,refile dealtalk consumer gloom put retail ipo risk,50,8,5,other
nifty_5,2010-01-14,Consumer gloom puts UK retail IPOs at risk,Fall,-0.0112,42,consumer gloom put retail ipo risk,34,6,5,other
nifty_5,2010-01-14,Merrill Lynch Affluent Insights Quarterly Survey Finds New Retirement Sensibilities and Priorities Emerging Among Affluent Americans,Fall,-0.0112,132,merrill lynch affluent insight quarterly survey find new retirement sensibility and priority emerging among affluent american,125,16,8,other
nifty_5,2010-01-14, Shaw Announces 5% Increase in Dividends to $0.88 Per Annum,Fall,-0.0112,59,shaw announces increase dividend per annum,42,6,3,quarterly results (2)
nifty_5,2010-01-14,European IPO market poised for recovery,Fall,-0.0112,39,european ipo market poised for recovery,39,6,5,other
nifty_5,2010-01-14,Forest CO2 market in the balance: report,Fall,-0.0112,40,forest market the balance report,32,5,8,other
nifty_5,2010-01-14,Gold rises as traders add positions after CFTC,Fall,-0.0112,46,gold rise trader add position after cftc,40,7,6,precious metals
nifty_5,2010-01-14,"U.S. gold ends higher on dollar drop, CFTC",Fall,-0.0112,42,gold end higher dollar drop cftc,32,6,6,precious metals
nifty_5,2010-01-14,"Dynegy Inc. Annual Meeting of Stockholders to Be Held on May 21, 2010",Fall,-0.0112,69,dynegy inc annual meeting stockholder held may,46,7,8,other
nifty_5,2010-01-14,"Gold, silver markets seen much harder target for CFTC",Fall,-0.0112,53,gold silver market seen much harder target for cftc,51,9,6,precious metals
nifty_5,2010-01-14,"PRECIOUS-Gold holds steady around $1,145/oz",Fall,-0.0112,43,precious gold hold steady around,32,5,6,precious metals
nifty_6,2010-01-19,Carriers Move on Aid,Fall,-0.0102,20,carrier move aid,16,3,9,aviation industry
nifty_7,2010-01-20,Belgian Taminco's IPO seen at 10-20 eur/shr -paper,Fall,-0.0192,50,belgian taminco ipo seen eur shr paper,38,7,5,other
nifty_7,2010-01-20,"DEALTALK-Temasek, China rebuff debt-heavy RUSAL's IPO pitch",Fall,-0.0192,59,dealtalk temasek china rebuff debt heavy rusal ipo pitch,56,9,5,other
nifty_7,2010-01-20,"Temasek, China rebuff debt-heavy RUSAL's IPO pitch",Fall,-0.0192,50,temasek china rebuff debt heavy rusal ipo pitch,47,8,5,other
nifty_7,2010-01-20,Samsung Life's record IPO in May or June: source,Fall,-0.0192,48,samsung life record ipo may june source,39,7,5,other
nifty_7,2010-01-20,China's XD Electric prices IPO at top of range,Fall,-0.0192,46,china electric price ipo top range,34,6,5,other
nifty_7,2010-01-20,"UPDATE 1-Dubai World Istithmar unit CEO resigns, CIO steps in",Fall,-0.0192,61,update dubai world istithmar unit ceo resigns cio step,54,9,8,other
nifty_7,2010-01-20,Immofinanz hopes for dividend payout in 2011-12,Fall,-0.0192,47,immofinanz hope for dividend payout,35,5,3,quarterly results (2)
nifty_7,2010-01-20,"Funding Levels at Corporate Pension Plans Rebound but Remain Well Below 2007 Levels, Towers Watson Analysis Finds",Fall,-0.0192,113,funding level corporate pension plan rebound but remain well below level tower watson analysis find,99,15,8,other
nifty_7,2010-01-20,Jefferies Declares Quarterly Dividend,Fall,-0.0192,37,jefferies declares quarterly dividend,37,4,3,quarterly results (2)
nifty_7,2010-01-20,Gullible Consumers May Get Gored On Gold Price:  Sellers Beware,Fall,-0.0192,63,gullible consumer may get gored gold price seller beware,56,9,6,precious metals
nifty_7,2010-01-20,"Learning to Buy and Resell Gold, Silver and Platinum for a Living or Extra Income",Fall,-0.0192,81,learning buy and resell gold silver and platinum for living extra income,72,12,6,precious metals
nifty_7,2010-01-20,"5 New Trends in CEO Transitions - A New Type of Leader is Emerging From the Meltdown, Says Stephen Miles of Heidrick & Struggles",Fall,-0.0192,128,new trend ceo transition new type leader emerging from the meltdown say stephen mile heidrick struggle,102,16,8,other
nifty_7,2010-01-20,"State Street CEO--restoring dividend a ""priority""",Fall,-0.0192,49,state street ceo restoring dividend priority,44,6,3,quarterly results (2)
nifty_7,2010-01-20,US gold hits two-week low on resurgent dollar,Fall,-0.0192,45,gold hit two week low resurgent dollar,38,7,6,precious metals
nifty_7,2010-01-20,"UPDATE 3-Jefferies Q4 profit beats Street, reinstates dividend",Fall,-0.0192,62,update jefferies profit beat street reinstates dividend,55,7,3,quarterly results (2)
nifty_7,2010-01-20,Ocean Shore Holding Co. Announces Quarterly Cash Dividend,Fall,-0.0192,57,ocean shore holding announces quarterly cash dividend,53,7,3,quarterly results (2)
nifty_7,2010-01-20,Small biz: Aiming for IPOs,Fall,-0.0192,26,small biz aiming for ipo,24,5,5,other
nifty_7,2010-01-20,"Gold hits two-week low on dollar rally, China",Fall,-0.0192,45,gold hit two week low dollar rally china,40,8,6,precious metals
nifty_7,2010-01-20,U.S. gold ends near 2-week low on resurgent dollar,Fall,-0.0192,50,gold end near week low resurgent dollar,39,7,6,precious metals
nifty_7,2010-01-20,First Horizon Announces Quarterly Dividends,Fall,-0.0192,43,first horizon announces quarterly dividend,42,5,3,quarterly results (2)
nifty_7,2010-01-20,First Advantage Bancorp Announces Quarterly Cash Dividend and Annual Meeting Date,Fall,-0.0192,81,first advantage bancorp announces quarterly cash dividend and annual meeting date,81,11,3,quarterly results (2)
nifty_7,2010-01-20, How Can We Plan for Retirement in the New Decade?,Fall,-0.0192,50,how can plan for retirement the new decade,42,8,8,other
nifty_7,2010-01-20,Investment and Asset Management Business Poised for a Rebound in 2010-2011 says Plunkett Research,Fall,-0.0192,97,investment and asset management business poised for rebound say plunkett research,81,11,8,other
nifty_7,2010-01-20,"Electro-Sensors, Inc. Announces Cash Dividend",Fall,-0.0192,45,electro sensor inc announces cash dividend,42,6,3,quarterly results (2)
nifty_7,2010-01-20,JinkoSolar files for $100 million IPO,Fall,-0.0192,37,jinkosolar file for million ipo,31,5,5,other
nifty_7,2010-01-20,"Protective Products of America, Inc. Names New Acting CEO and Commences Internal...",Fall,-0.0192,83,protective product america inc name new acting ceo and commences internal,73,11,8,other
nifty_7,2010-01-20,UPDATE 1-Imperial Capital cuts IPO to $130.3 mln,Fall,-0.0192,48,update imperial capital cut ipo mln,35,6,5,other
nifty_7,2010-01-20,Sinosteel sees IPO approval by June -China Daily,Fall,-0.0192,48,sinosteel see ipo approval june china daily,43,7,5,other
nifty_7,2010-01-20,"PRECIOUS-Gold steady a day after slump, China data eyed",Fall,-0.0192,55,precious gold steady day after slump china data eyed,52,9,6,precious metals
nifty_7,2010-01-20,The Charles Schwab Corporation Announces Pricing of Common Stock Offering,Fall,-0.0192,73,the charles schwab corporation announces pricing common stock offering,70,9,8,other
nifty_7,2010-01-20,PRECIOUS-Gold trims early gains as dlr rises on China data,Fall,-0.0192,58,precious gold trim early gain dlr rise china data,49,9,6,precious metals
nifty_8,2010-01-21,Two Firms Enter Clean-Air Settlement,Fall,-0.0223,36,two firm enter clean air settlement,35,6,9,aviation industry
nifty_8,2010-01-21,Cockpit-Door Defects Worry Officials,Fall,-0.0223,36,cockpit door defect worry official,34,5,9,aviation industry
nifty_9,2010-01-25,Delta Plans Fleet Upgrade,Neutral,-0.0042,25,delta plan fleet upgrade,24,4,9,aviation industry
nifty_9,2010-01-25,"AIG, CEO Sign Jet-Use Deal",Neutral,-0.0042,26,aig ceo sign jet use deal,25,6,9,aviation industry
nifty_10,2010-01-26,Gold Regains Its Footing,Neutral,0.0048,24,gold regains it footing,23,4,6,precious metals
nifty_10,2010-01-26,Andatee IPO Has Lackluster Start,Neutral,0.0048,32,andatee ipo ha lackluster start,31,5,5,other
nifty_11,2010-01-27,Australia Study Group picks advisers for IPO,Fall,-0.0115,44,australia study group pick adviser for ipo,42,7,5,other
nifty_11,2010-01-27,Partner Communications Announces a Change to the Date for Submitting Objections to the Application for Dividend Distribution,Fall,-0.0115,124,partner communication announces change the date for submitting objection the application for dividend distribution,114,14,3,quarterly results (2)
nifty_11,2010-01-27,China's Yitai Coal plans $1 bln HK IPO -source,Fall,-0.0115,46,china yitai coal plan bln ipo source,36,7,5,other
nifty_11,2010-01-27,UPDATE 1-Study Group Int'l says prefers IPO for growth,Fall,-0.0115,54,update study group int say prefers ipo for growth,49,9,5,other
nifty_11,2010-01-27,"Malaysia's Sunway hires RHB, Credit Suisse for REIT IPO",Fall,-0.0115,55,malaysia sunway hire rhb credit suisse for reit ipo,51,9,5,other
nifty_11,2010-01-27,BRIC IPOs see record January at $6.7 bln,Fall,-0.0115,40,bric ipo see record january bln,31,6,5,other
nifty_11,2010-01-27,BRIC IPOs see record January at $6.7 billion,Fall,-0.0115,44,bric ipo see record january billion,35,6,5,other
nifty_11,2010-01-27," Northway Financial, Inc. Announces Semi-Annual Dividend to Common Stockholders",Fall,-0.0115,79,northway financial inc announces semi annual dividend common stockholder,72,9,3,quarterly results (2)
nifty_11,2010-01-27,"Tower Bancorp, Inc. Announces Earnings, Dividend",Fall,-0.0115,48,tower bancorp inc announces earnings dividend,45,6,3,quarterly results (2)
nifty_11,2010-01-27,"UPDATE 1-China, Russia push BRIC IPOs to $6.7 bln in Jan",Fall,-0.0115,56,update china russia push bric ipo bln jan,41,8,5,other
nifty_11,2010-01-27,Redwood Capital Reports Strong Earnings and Growth in Challenging Environment,Fall,-0.0115,77,redwood capital report strong earnings and growth challenging environment,73,9,3,quarterly results (2)
nifty_11,2010-01-27,"Capital Properties, Inc. Declares Dividend",Fall,-0.0115,42,capital property inc declares dividend,38,5,3,quarterly results (2)
nifty_11,2010-01-27,Putnam Investments Launches an Innovative Retirement Planning Platform to Drive Participant Savings,Fall,-0.0115,99,putnam investment launch innovative retirement planning platform drive participant saving,89,10,8,other
nifty_11,2010-01-27,US gold falls ahead of Fed; contract rollover eyed,Fall,-0.0115,50,gold fall ahead fed contract rollover eyed,42,7,6,precious metals
nifty_11,2010-01-27,First Clover Leaf Financial Corp. Announces Quarterly Dividend,Fall,-0.0115,62,first clover leaf financial corp announces quarterly dividend,61,8,3,quarterly results (2)
nifty_11,2010-01-27,"First Niagara Financial Group, Inc. Declares Quarterly Dividend",Fall,-0.0115,63,first niagara financial group inc declares quarterly dividend,61,8,3,quarterly results (2)
nifty_11,2010-01-27,"ARMOUR Residential REIT, Inc. Announces That Equity Proceeds Are Fully Invested",Fall,-0.0115,79,armour residential reit inc announces that equity proceeds are fully invested,77,11,3,quarterly results (2)
nifty_11,2010-01-27,US gold ends down on dollar rise; Fed decision eyed,Fall,-0.0115,51,gold end down dollar rise fed decision eyed,43,8,6,precious metals
nifty_11,2010-01-27,DAVOS-EFG-Hermes has $1.2/$1.3 bln for investments-CEO,Fall,-0.0115,54,davos efg hermes ha bln for investment ceo,42,8,8,other
nifty_11,2010-01-27,"SandRidge Energy, Inc. Declares Semi-Annual Preferred Stock Dividend",Fall,-0.0115,68,sandridge energy inc declares semi annual preferred stock dividend,66,9,3,quarterly results (2)
nifty_11,2010-01-27,"Dover Downs Gaming & Entertainment, Inc. Declares Quarterly Dividend",Fall,-0.0115,68,dover down gaming entertainment inc declares quarterly dividend,63,8,3,quarterly results (2)
nifty_11,2010-01-27,Gold stays lower after Fed policy statement,Fall,-0.0115,43,gold stay lower after fed policy statement,42,7,6,precious metals
nifty_11,2010-01-27,Cardinal Financial Corporation Increases Quarterly Dividend,Fall,-0.0115,59,cardinal financial corporation increase quarterly dividend,58,6,3,quarterly results (2)
nifty_11,2010-01-27,IFM Investments cuts IPO terms -filing,Fall,-0.0115,38,ifm investment cut ipo term filing,34,6,5,other
nifty_11,2010-01-27,"ING Raises $370 Million in IPO for the ING Infrastructure, Industrials and Materials Fund (NYSE Symbol IDE)",Fall,-0.0115,107,ing raise million ipo for the ing infrastructure industrials and material fund nyse symbol ide,94,15,5,other
nifty_11,2010-01-27,UPDATE 1-Chinese real estate company IFM downsizes IPO,Fall,-0.0115,54,update chinese real estate company ifm downsizes ipo,52,8,5,other
nifty_11,2010-01-27,Eagle Materials Inc. Declares Quarterly Dividend,Fall,-0.0115,48,eagle material inc declares quarterly dividend,46,6,3,quarterly results (2)
nifty_11,2010-01-27,"Hawkins, Inc. Declares Semi-Annual Cash Dividend of $0.28 Per Share",Fall,-0.0115,67,hawkins inc declares semi annual cash dividend per share,56,9,3,quarterly results (2)
nifty_11,2010-01-27,WRAPUP 1-Three companies change IPO plans in tough market,Fall,-0.0115,57,wrapup three company change ipo plan tough market,49,8,5,other
nifty_11,2010-01-27,China's AgBank IPO may not occur in 2010 -paper,Fall,-0.0115,47,china agbank ipo may not occur paper,36,7,5,other
nifty_11,2010-01-27,CORRECTED - UPDATE 1-Chinese real estate IPO priced at bottom of cut range,Fall,-0.0115,74,corrected update chinese real estate ipo priced bottom cut range,64,10,5,other
nifty_11,2010-01-27,UPDATE 2-Chinese real estate IPO priced at bottom of cut range,Fall,-0.0115,62,update chinese real estate ipo priced bottom cut range,54,9,5,other
nifty_11,2010-01-27,Chinese real estate IPO priced at bottom of cut range,Fall,-0.0115,53,chinese real estate ipo priced bottom cut range,47,8,5,other
nifty_11,2010-01-27,"PRECIOUS-Gold mostly steady under $1,090 after Obama speech",Fall,-0.0115,59,precious gold mostly steady under after obama speech,52,8,6,precious metals
nifty_11,2010-01-27,"Praxair Reports Increased Profits, Dividend",Fall,-0.0115,43,praxair report increased profit dividend,40,5,3,quarterly results (2)
nifty_11,2010-01-27,FAA: Commuter Airline Safety Improves,Fall,-0.0115,37,faa commuter airline safety improves,36,5,9,aviation industry
nifty_13,2010-02-01,"Major gold, silver funds see outflows in January",Rise,0.0121,48,major gold silver fund see outflow january,42,7,6,precious metals
nifty_13,2010-02-01,"ARMOUR Residential REIT, Inc.  Announces Symbol and Market Makers for OTC Bulletin Board",Rise,0.0121,88,armour residential reit inc announces symbol and market maker for otc bulletin board,84,13,3,quarterly results (2)
nifty_13,2010-02-01, GoIP Global's CEO Featured by Kinsley Street Investors,Rise,0.0121,55,goip global ceo featured kinsley street investor,48,7,8,other
nifty_13,2010-02-01,"Correlix Accelerates Growth, Names Gil Shaked CEO",Rise,0.0121,49,correlix accelerates growth name gil shaked ceo,47,7,8,other
nifty_13,2010-02-01, First Gold Increases Its Land Holdings,Rise,0.0121,39,first gold increase it land holding,35,6,6,precious metals
nifty_13,2010-02-01, Dutch Gold Takes Further Steps to Enhance Transparency,Rise,0.0121,55,dutch gold take further step enhance transparency,49,7,6,precious metals
nifty_13,2010-02-01,U.S. gold rises on dollar retreat; platinum up,Rise,0.0121,46,gold rise dollar retreat platinum,33,5,6,precious metals
nifty_13,2010-02-01, / CORRECTION - Dutch Gold Takes Further Steps to Enhance Transparency,Rise,0.0121,70,correction dutch gold take further step enhance transparency,60,8,6,precious metals
nifty_13,2010-02-01,Unilens Vision Inc. Declares Regular Quarterly Cash Dividend of U.S. $0.09 Per Share,Rise,0.0121,84,unilens vision inc declares regular quarterly cash dividend per share,69,10,3,quarterly results (2)
nifty_13,2010-02-01,Gold posts biggest daily gains since November,Rise,0.0121,45,gold post biggest daily gain since november,43,7,6,precious metals
nifty_13,2010-02-01,"US gold 2 pct higher, biggest daily gain since Nov",Rise,0.0121,50,gold pct higher biggest daily gain since nov,44,8,6,precious metals
nifty_13,2010-02-01,Protective Declares Quarterly Dividend,Rise,0.0121,38,protective declares quarterly dividend,38,4,3,quarterly results (2)
nifty_13,2010-02-01,UPDATE 2-RGA Q4 oper profit tops Street; hikes dividend,Rise,0.0121,55,update rga oper profit top street hike dividend,47,8,3,quarterly results (2)
nifty_13,2010-02-01,Golden Valley Bank Continues Record Quarterly Profit Streak,Rise,0.0121,59,golden valley bank continues record quarterly profit streak,59,8,3,quarterly results (2)
nifty_13,2010-02-01,China Huatai Securities to launch $2.9 bln IPO,Rise,0.0121,46,china huatai security launch bln ipo,36,6,5,other
nifty_13,2010-02-01,China Huatai Securities to launch $2.9 billion IPO,Rise,0.0121,50,china huatai security launch billion ipo,40,6,5,other
nifty_13,2010-02-01,"PRECIOUS-Gold eases a touch, remains near $1,105",Rise,0.0121,48,precious gold eas touch remains near,36,6,6,precious metals
nifty_13,2010-02-01,"PRECIOUS-Gold steady near $1,105; eyes U.S. jobs data",Rise,0.0121,53,precious gold steady near eye job data,38,7,6,precious metals
nifty_13,2010-02-01,UPDATE 2-China's Huatai Sec braves market with $2.4 bln IPO,Rise,0.0121,59,update china huatai sec brave market with bln ipo,49,9,5,other
nifty_13,2010-02-01,China's Huatai Sec braves market with $2.4 billion IPO,Rise,0.0121,54,china huatai sec brave market with billion ipo,46,8,5,other
nifty_13,2010-02-01,Gold Recovers Some of Recent Losses,Rise,0.0121,35,gold recovers some recent loss,30,5,6,precious metals
nifty_13,2010-02-01,"Colgan Air, Pilots at Odds on Safety",Rise,0.0121,36,colgan air pilot odds safety,28,5,9,aviation industry
nifty_13,2010-02-01,FAA Aims To Fine AMR Unit,Rise,0.0121,25,faa aim fine amr unit,21,5,9,aviation industry
nifty_14,2010-02-02,Gold Continues Its Bounce,Neutral,-0.005,25,gold continues it bounce,24,4,6,precious metals
nifty_14,2010-02-02,CIT Operating Chief to Leave,Neutral,-0.005,28,cit operating chief leave,25,4,8,other
nifty_16,2010-02-04,Gold Posts Worst Drop in 14 Months,Neutral,0.0021,34,gold post worst drop month,26,5,6,precious metals
nifty_17,2010-02-08,UPS to Furlough at Least 300 Pilots,Rise,0.0126,35,ups furlough least pilot,24,4,9,aviation industry
nifty_17,2010-02-08,"Gold Finds Support at $1,000 an Ounce",Rise,0.0126,37,gold find support ounce,23,4,6,precious metals
nifty_18,2010-02-09,US Airways Incident Raises Pilot-Focus Issues,Neutral,-0.002,45,airway incident raise pilot focus issue,39,6,9,aviation industry
nifty_18,2010-02-09,"Gold, Other Metals Gain",Neutral,-0.002,23,gold other metal gain,21,4,6,precious metals
nifty_19,2010-02-10,"Delta, US Airways May Drop Slot Swap",Rise,0.0105,36,delta airway may drop slot swap,31,6,9,aviation industry
nifty_22,2010-02-17,Hartford Taps Swift as New Finance Chief,Rise,0.0059,40,hartford tap swift new finance chief,36,6,8,other
nifty_23,2010-02-18,Report Faults FAA for Oversight of American Airlines,Neutral,0.0021,52,report fault faa for oversight american airline,47,7,9,aviation industry
nifty_25,2010-02-23,No Gold Medals for Global Stocks,Rise,0.0092,32,gold medal for global stock,27,5,6,precious metals
nifty_26,2010-02-24,Airline Passenger Revenue Rises,Neutral,-0.0014,31,airline passenger revenue rise,30,4,9,aviation industry
nifty_28,2010-03-01,JetBlue Resumes Flights After Glitch,Neutral,0.0028,36,jetblue resume flight after glitch,34,5,9,aviation industry
nifty_30,2010-03-03,INTERVIEW-UPDATE 1-Malaysia's Axiata considers 2011 dividend,Neutral,0.003,60,interview update malaysia axiata considers dividend,51,6,3,quarterly results (2)
nifty_30,2010-03-03,Video Q&A;: Gecina CEO Christophe Clamageran Comments on 2009 Results and Outlook,Neutral,0.003,81,video gecina ceo christophe clamageran comment result and outlook,65,9,8,other
nifty_30,2010-03-03,FT CEO says improving ad trend continues,Neutral,0.003,40,ceo say improving trend continues,33,5,8,other
nifty_30,2010-03-03,REG-Invesco Perpetual UK: Dividend Declaration,Neutral,0.003,46,reg invesco perpetual dividend declaration,42,5,3,quarterly results (2)
nifty_30,2010-03-03,"More Than Seven-in-Ten Workers Age 60+ Are Putting Off Retirement Due to Financial Restraints, According to a New CareerBuilder Survey",Neutral,0.003,134,more than seven ten worker age are putting off retirement due financial restraint according new careerbuilder survey,116,17,8,other
nifty_30,2010-03-03,"McRae Industries, Inc. Dividend Declared",Neutral,0.003,40,mcrae industry inc dividend declared,36,5,3,quarterly results (2)
nifty_30,2010-03-03,21st Century Holding Company Declares Regular Quarterly Dividend,Neutral,0.003,64,century holding company declares regular quarterly dividend,59,7,3,quarterly results (2)
nifty_30,2010-03-03,US gold higher but gains trimmed on profit-taking,Neutral,0.003,49,gold higher but gain trimmed profit taking,42,7,6,precious metals
nifty_30,2010-03-03,PersonalFinance: Retirement without fear,Neutral,0.003,40,personalfinance retirement without fear,39,4,8,other
nifty_30,2010-03-03,Schwab says advisers steering cash back into market,Neutral,0.003,51,schwab say adviser steering cash back into market,49,8,8,other
nifty_30,2010-03-03,General Dynamics Board Increases Dividend,Neutral,0.003,41,general dynamic board increase dividend,39,5,3,quarterly results (2)
nifty_30,2010-03-03,BlackRock Kelso Capital Announces Cash Dividend of $0.32 per share,Neutral,0.003,66,blackrock kelso capital announces cash dividend per share,57,8,3,quarterly results (2)
nifty_30,2010-03-03, AgraQuest Inc. Strengthens Financial Standing Ahead of Planned IPO,Neutral,0.003,67,agraquest inc strengthens financial standing ahead planned ipo,62,8,5,other
nifty_30,2010-03-03,US gold hits 6-1/2 week highs on currency volatility,Neutral,0.003,52,gold hit week high currency volatility,38,6,6,precious metals
nifty_30,2010-03-03,UPDATE 3-Wi-LAN eyes Nortel's LTE patent portfolio - CEO,Neutral,0.003,56,update lan eye nortel lte patent portfolio ceo,46,8,8,other
nifty_30,2010-03-03,Wi-LAN eyes Nortel's LTE patent portfolio: CEO,Neutral,0.003,46,lan eye nortel lte patent portfolio ceo,39,7,8,other
nifty_30,2010-03-03,Energy LPs Could Re-Energize IPO Market,Neutral,0.003,39,energy lp could energize ipo market,35,6,5,other
nifty_30,2010-03-03,Continental to Offer Roomier Exit-Row Seats for a Fee,Neutral,0.003,53,continental offer roomier exit row seat for fee,47,8,9,aviation industry
nifty_30,2010-03-03,Virgin's Space Plans Move Forward,Neutral,0.003,33,virgin space plan move forward,30,5,9,aviation industry
nifty_31,2010-03-04,REG-EP Global Opps Tst: Annual Financial Report and Interim Dividend,Rise,0.0143,68,reg global opps tst annual financial report and interim dividend,64,10,3,quarterly results (2)
nifty_31,2010-03-04,Korea Life IPO pricing likely bottom of range -sources,Rise,0.0143,54,korea life ipo pricing likely bottom range source,49,8,5,other
nifty_31,2010-03-04,Korea Life IPO pricing likely bottom of range-sources,Rise,0.0143,53,korea life ipo pricing likely bottom range source,49,8,5,other
nifty_31,2010-03-04,"UPDATE 2-Trinity Mirror sees improving trend, mulls dividend",Rise,0.0143,60,update trinity mirror see improving trend mull dividend,55,8,3,quarterly results (2)
nifty_31,2010-03-04,"UPDATE 2-Novae FY profit falls, raises dividend",Rise,0.0143,47,update nova profit fall raise dividend,38,6,3,quarterly results (2)
nifty_31,2010-03-04,REG-Keystone IT Plc: Dividend Declaration,Rise,0.0143,41,reg keystone plc dividend declaration,37,5,3,quarterly results (2)
nifty_31,2010-03-04,"UPDATE 2-Egypt's EFG-Hermes to hike dividend, shares rise",Rise,0.0143,57,update egypt efg hermes hike dividend share rise,48,8,3,quarterly results (2)
nifty_31,2010-03-04, Just Energy Exchange Corp. Announces March Dividend,Rise,0.0143,52,just energy exchange corp announces march dividend,50,7,3,quarterly results (2)
