,id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name,year,count
358,nifty_2,2010-01-11,TREASURIES-Short-term yields ease on Fed outlook; supply ahead,Fall,-0.0093,62,treasury short term yield ease fed outlook supply ahead,55,9,10,treasury,2010,367
396,nifty_2,2010-01-11,Research and Markets: Vertex Pharmaceuticals - SWOT Framework Analysis,Fall,-0.0093,70,research and market vertex pharmaceutical swot framework analysis,65,8,0,pharmacy,2010,673
404,nifty_2,2010-01-11,Elite Pharma Insiders to Reveal Key Survival Strategies for Pharmaceutical Industry in 2010,Fall,-0.0093,91,elite pharma insider reveal key survival strategy for pharmaceutical industry,77,10,0,pharmacy,2010,673
405,nifty_2,2010-01-11,Securex Turns to GT Software`s Ivory Service Architect To Convert Batch Applications for Online Access,Fall,-0.0093,102,securex turn software ivory service architect convert batch application for online access,89,12,4,cybersecurity,2010,437
416,nifty_2,2010-01-11,US STOCKS SNAPSHOT-Wall St turns flat as advance fades,Fall,-0.0093,54,stock snapshot wall turn flat advance fade,42,7,2,stock,2010,578
421,nifty_2,2010-01-11,SecureWorks Extends PCI Approved Scanning Vendor Solutions,Fall,-0.0093,58,secureworks extends pci approved scanning vendor solution,57,7,4,cybersecurity,2010,437
447,nifty_2,2010-01-11,Research and Markets: Point-of-Sale (POS) Software Market in China 2008-2012,Fall,-0.0093,76,research and market point sale po software market china,55,9,7,telecom industry,2010,472
451,nifty_2,2010-01-11,"Research and Markets: Diamond Tools - World Markets, Applications & End-Users: 2008-2013 Analysis & Forecasts",Fall,-0.0093,109,research and market diamond tool world market application end user analysis forecast,84,12,7,telecom industry,2010,472
476,nifty_2,2010-01-11,"UPDATE 2-Helen of Troy Q3 sales misses Wall Street, shares fall",Fall,-0.0093,63,update helen troy sale miss wall street share fall,50,9,1,quarterly results (1),2010,828
491,nifty_2,2010-01-11,REFILE-US STOCKS-Wall St slips as investors brace for earnings,Fall,-0.0093,62,refile stock wall slip investor brace for earnings,50,8,2,stock,2010,578
492,nifty_2,2010-01-11,Resverlogix Presenting at Biotech Showcase,Fall,-0.0093,42,resverlogix presenting biotech showcase,39,4,0,pharmacy,2010,673
493,nifty_2,2010-01-11,"Renewed Brand: First Report - Managed Care Focuses on Urgent Reporting of Healthcare, Pharmaceuticals and Managed Markets",Fall,-0.0093,121,renewed brand first report managed care focus urgent reporting healthcare pharmaceutical and managed market,107,14,0,pharmacy,2010,673
516,nifty_2,2010-01-11,AMAG shares rise on strong revenue outlook for anemia drug,Fall,-0.0093,58,amag share rise strong revenue outlook for anemia drug,54,9,0,pharmacy,2010,673
545,nifty_2,2010-01-11,RPT-US STOCKS-Wall Street pauses before start of earnings,Fall,-0.0093,57,rpt stock wall street pause before start earnings,49,8,2,stock,2010,578
549,nifty_2,2010-01-11,Research and Markets: Extensive Assessment of US Mobile Video and TV Markets and Behaviors with Projections to 2015,Fall,-0.0093,115,research and market extensive assessment mobile video and market and behavior with projection,93,13,7,telecom industry,2010,472
554,nifty_2,2010-01-11,Research and Markets: Global Inventory Management Software Market in Retail Industry 2008-2012 Profiles Some of the Key Vendors of This Market,Fall,-0.0093,142,research and market global inventory management software market retail industry profile some the key vendor this market,119,17,7,telecom industry,2010,472
558,nifty_2,2010-01-11, ChicagoFIRST Addresses Cyber Security Threats,Fall,-0.0093,46,chicagofirst address cyber security threat,42,5,4,cybersecurity,2010,437
578,nifty_2,2010-01-11,TREASURIES-Longer yields rise on looming supply,Fall,-0.0093,47,treasury longer yield rise looming supply,41,6,10,treasury,2010,367
592,nifty_2,2010-01-11,TREASURIES-Prices mostly steady after 10-year TIPS auction,Fall,-0.0093,58,treasury price mostly steady after year tip auction,51,8,10,treasury,2010,367
598,nifty_2,2010-01-11,US STOCKS-Markets flat before earnings season's start,Fall,-0.0093,53,stock market flat before earnings season start,46,7,2,stock,2010,578
601,nifty_2,2010-01-11,UPDATE 2-Celgene forecasts lower-than-expected 2010 EPS,Fall,-0.0093,55,update celgene forecast lower than expected eps,47,7,1,quarterly results (1),2010,828
609,nifty_2,2010-01-11,TREASURIES-Supply bogs down longer-dated debt prices,Fall,-0.0093,52,treasury supply bog down longer dated debt price,48,8,10,treasury,2010,367
661,nifty_2,2010-01-11,Spherix to Present at Annual OneMedPlace Finance Forum and at EBD Biotech Showcase in San Francisco,Fall,-0.0093,99,spherix present annual onemedplace finance forum and ebd biotech showcase san francisco,87,12,0,pharmacy,2010,673
671,nifty_2,2010-01-11,"Cyber Security Requirements Prompt New Security+, CNSS, and FISMA Courses at Lunarline",Fall,-0.0093,86,cyber security requirement prompt new security cns and fisma course lunarline,77,11,4,cybersecurity,2010,437
681,nifty_2,2010-01-11,Mexx Worldwide Strengthens Product Team,Fall,-0.0093,39,mexx worldwide strengthens product team,39,5,0,pharmacy,2010,673
684,nifty_2,2010-01-11,"TREASURIES-Bonds firm on solid auction, weaker stocks",Fall,-0.0093,53,treasury bond firm solid auction weaker stock,45,7,10,treasury,2010,367
712,nifty_2,2010-01-11,"TREASURIES-Bonds firm on solid auction, lower stocks",Fall,-0.0093,52,treasury bond firm solid auction lower stock,44,7,10,treasury,2010,367
731,nifty_2,2010-01-11,UPDATE 1-WD-40 Q1 profit tops Wall Street estimates,Fall,-0.0093,51,update profit top wall street estimate,38,6,1,quarterly results (1),2010,828
732,nifty_2,2010-01-11,WD-40 profit tops Wall Street estimates,Fall,-0.0093,39,profit top wall street estimate,31,5,1,quarterly results (1),2010,828
734,nifty_2,2010-01-11,FDA Unveils First Phase of Transparency Initiative,Fall,-0.0093,50,fda unveils first phase transparency initiative,47,6,0,pharmacy,2010,673
756,nifty_2,2010-01-11,Suffolk Bancorp Thwarts Data Intrusion at Banking Subsidiary,Fall,-0.0093,60,suffolk bancorp thwart data intrusion banking subsidiary,56,7,4,cybersecurity,2010,437
764,nifty_2,2010-01-11,"UPDATE 1-Molecular Insight cuts job, shares fall",Fall,-0.0093,48,update molecular insight cut job share fall,43,7,0,pharmacy,2010,673
771,nifty_2,2010-01-11,New GAO Study: Lack of Competition Helping Drive `Extraordinary` Brand-Name Drug Price Increases,Fall,-0.0093,96,new gao study lack competition helping drive extraordinary brand name drug price increase,89,13,0,pharmacy,2010,673
778,nifty_2,2010-01-11,"US GAO finds ""extraordinary"" increases in drug prices",Fall,-0.0093,53,gao find extraordinary increase drug price,42,6,0,pharmacy,2010,673
787,nifty_2,2010-01-11,Mindpix Corporation Discovers Identity of Notorious Corporate Cyber Basher,Fall,-0.0093,74,mindpix corporation discovers identity notorious corporate cyber basher,71,8,4,cybersecurity,2010,437
788,nifty_2,2010-01-11,"US STOCKS-China data helps Wall St, Alcoa falls late",Fall,-0.0093,52,stock china data help wall alcoa fall late,42,8,2,stock,2010,578
790,nifty_2,2010-01-11,"China data helps Wall St, Alcoa falls late",Fall,-0.0093,42,china data help wall alcoa fall late,36,7,2,stock,2010,578
792,nifty_2,2010-01-11,AHF Blasts Merck on AIDS Drug Pricing During Investor Conference Protest in S.F.,Fall,-0.0093,80,ahf blast merck aid drug pricing during investor conference protest,67,10,0,pharmacy,2010,673
803,nifty_2,2010-01-11,Earnings season begins,Fall,-0.0093,22,earnings season begin,21,3,2,stock,2010,578
806,nifty_2,2010-01-11,"Electronic Arts cuts forecast, shares fall",Fall,-0.0093,42,electronic art cut forecast share fall,38,6,1,quarterly results (1),2010,828
820,nifty_2,2010-01-11,HK stocks seen opening flat; energy stocks eyed,Fall,-0.0093,47,stock seen opening flat energy stock eyed,41,7,2,stock,2010,578
827,nifty_2,2010-01-11,Research and Markets: New Report: OTC Healthcare in China to 2013,Fall,-0.0093,65,research and market new report otc healthcare china,51,8,0,pharmacy,2010,673
894,nifty_3,2010-01-12,"HIGHLIGHTS-Infosys executives on margins, pricing, rupee",Rise,0.0084,56,highlight infosys executive margin pricing rupee,48,6,1,quarterly results (1),2010,828
950,nifty_3,2010-01-12,"U.S. stock futures fall; eyes on Alcoa, Chevron",Rise,0.0084,47,stock future fall eye alcoa chevron,35,6,2,stock,2010,578
957,nifty_3,2010-01-12,UPDATE 1-Morgan Stanley favours cyclical media stocks in H1,Rise,0.0084,59,update morgan stanley favour cyclical medium stock,50,7,2,stock,2010,578
968,nifty_3,2010-01-12,UPDATE 2-Nivea maker Beiersdorf full-year profit slumps,Rise,0.0084,55,update nivea maker beiersdorf full year profit slump,52,8,1,quarterly results (1),2010,828
973,nifty_3,2010-01-12,Research and Markets: Pharma Bio World: Annual Subscription for Senior Professionals in the Pharmaceutical and Biotechnology Sectors,Rise,0.0084,132,research and market pharma bio world annual subscription for senior professional the pharmaceutical and biotechnology sector,124,16,0,pharmacy,2010,673
981,nifty_3,2010-01-12,Research and Markets: Hong Kong - Mobile Communications - Market Overview & Statistics,Rise,0.0084,86,research and market hong kong mobile communication market overview statistic,76,10,7,telecom industry,2010,472
984,nifty_3,2010-01-12,Research and Markets: New Zealand - Infrastructure - NGNs and FttH,Rise,0.0084,66,research and market new zealand infrastructure ngns and ftth,60,9,7,telecom industry,2010,472
1014,nifty_3,2010-01-12,Research and Markets: Untethering the SMB Workforce 2009: Mobility Trends Assessment,Rise,0.0084,84,research and market untethering the smb workforce mobility trend assessment,75,10,7,telecom industry,2010,472
1028,nifty_3,2010-01-12,AHF Blasts Merck on AIDS Drug Pricing During Investor Conference Protest in S.F.,Rise,0.0084,80,ahf blast merck aid drug pricing during investor conference protest,67,10,0,pharmacy,2010,673
1053,nifty_3,2010-01-12,"US STOCKS-Futures fall after Alcoa results, Chevron warning",Rise,0.0084,59,stock future fall after alcoa result chevron warning,52,8,2,stock,2010,578
1065,nifty_3,2010-01-12, Medical Care Technologies Inc. Completes International Secure Practice Management Suite for Testing in China,Rise,0.0084,109,medical care technology inc completes international secure practice management suite for testing china,102,13,0,pharmacy,2010,673
1070,nifty_3,2010-01-12,the Rubicon Project Fights Malvertising with the Launch of Rubicon Security,Rise,0.0084,75,the rubicon project fight malvertising with the launch rubicon security,71,10,4,cybersecurity,2010,437
1077,nifty_3,2010-01-12,Molecular Biometrics Closes $12.5 Million Series B Equity Funding,Rise,0.0084,65,molecular biometrics close million series equity funding,56,7,0,pharmacy,2010,673
1078,nifty_3,2010-01-12,"Research and Markets: Mobile Applications, as Well as Internet Browsing Will Yield US$139.6 Billion across All European Markets in the 2009-2014 Period",Rise,0.0084,151,research and market mobile application well internet browsing will yield billion across all european market the period,118,17,7,telecom industry,2010,472
1090,nifty_3,2010-01-12,UPDATE 1-Signet ups earnings view after strong U.S. Xmas,Rise,0.0084,56,update signet ups earnings view after strong xmas,49,8,1,quarterly results (1),2010,828
1102,nifty_3,2010-01-12,"US STOCKS-Futures slip on Alcoa results, Chevron warning",Rise,0.0084,56,stock future slip alcoa result chevron warning,46,7,2,stock,2010,578
1113,nifty_3,2010-01-12,McAfee Positioned in the Leaders Quadrant for Secure Web Gateway Magic Quadrant,Rise,0.0084,79,mcafee positioned the leader quadrant for secure web gateway magic quadrant,75,11,4,cybersecurity,2010,437
1117,nifty_3,2010-01-12,Gaco Western`s WallFoam 184 BIO Offers Green Upside in Down Market,Rise,0.0084,66,gaco western wallfoam bio offer green upside down market,56,9,0,pharmacy,2010,673
1130,nifty_3,2010-01-12,CEP Logic Launches New IT Security Website,Rise,0.0084,42,cep logic launch new security website,37,6,4,cybersecurity,2010,437
1150,nifty_3,2010-01-12,Big Lots raises fourth-quarter forecast,Rise,0.0084,39,big lot raise fourth quarter forecast,37,6,1,quarterly results (1),2010,828
1152,nifty_3,2010-01-12,TREASURIES - 30-year bond up a point as stock futures weaken,Rise,0.0084,60,treasury year bond point stock future weaken,44,7,10,treasury,2010,367
1156,nifty_3,2010-01-12," Allocade Featured in Spinoff, NASA's Annual Premier Publication Highlighting Successfully Commercialized Technology",Rise,0.0084,116,allocade featured spinoff nasa annual premier publication highlighting successfully commercialized technology,109,11,0,pharmacy,2010,673
1159,nifty_3,2010-01-12, Ramtron Expands Global Distribution With Future Electronics,Rise,0.0084,60,ramtron expands global distribution with future electronics,59,7,7,telecom industry,2010,472
1163,nifty_3,2010-01-12,Cyber-Ark Labs Launched to Develop Innovative Information Security Solutions to Combat Emerging Threats and Solve Compliance Challenges,Rise,0.0084,135,cyber ark lab launched develop innovative information security solution combat emerging threat and solve compliance challenge,125,16,4,cybersecurity,2010,437
1166,nifty_3,2010-01-12,Biogen Idec to Provide Business Update at Investor Meeting,Rise,0.0084,58,biogen idec provide business update investor meeting,52,7,0,pharmacy,2010,673
1202,nifty_3,2010-01-12,Saudi Dar al-Arkan Q4 profit up but below forecasts,Rise,0.0084,51,saudi dar arkan profit but below forecast,41,7,1,quarterly results (1),2010,828
1203,nifty_3,2010-01-12,"US STOCKS-Wall St to open lower on Alcoa, Chevron warns",Rise,0.0084,55,stock wall open lower alcoa chevron warns,41,7,2,stock,2010,578
1231,nifty_3,2010-01-12,"BioLeap, Inc. Secures $5M Series A Financing from Adams Capital Management and Quaker BioVentures",Rise,0.0084,97,bioleap inc secures series financing from adam capital management and quaker bioventures,88,12,0,pharmacy,2010,673
1251,nifty_3,2010-01-12,"Forestweb U.S. Stock Index Rises 62% in 2009, Outpacing S&P; and Dow",Rise,0.0084,68,forestweb stock index rise outpacing and dow,44,7,2,stock,2010,578
1267,nifty_3,2010-01-12,FDA Unveils First Phase of Transparency Initiative,Rise,0.0084,50,fda unveils first phase transparency initiative,47,6,0,pharmacy,2010,673
1268,nifty_3,2010-01-12,TREASURIES-Bonds rally as stock index futures weaken,Rise,0.0084,52,treasury bond rally stock index future weaken,45,7,10,treasury,2010,367
1277,nifty_3,2010-01-12,"US STOCKS SNAPSHOT-Wall St lower on Alcoa, Chevron warning",Rise,0.0084,58,stock snapshot wall lower alcoa chevron warning,47,7,2,stock,2010,578
1300,nifty_3,2010-01-12,US STOCKS-Wall St falls after subpar start to earnings season,Rise,0.0084,61,stock wall fall after subpar start earnings season,50,8,2,stock,2010,578
1347,nifty_3,2010-01-12,Supervalu profit beats Street view; shares jump,Rise,0.0084,47,supervalu profit beat street view share jump,44,7,1,quarterly results (1),2010,828
1383,nifty_3,2010-01-12,Trend Micro Rolls Out New Solution Suites for Enterprises and Medium Businesses Offering Maximum Protection With Minimum Complexity,Rise,0.0084,131,trend micro roll out new solution suite for enterprise and medium business offering maximum protection with minimum complexity,126,18,4,cybersecurity,2010,437
1410,nifty_3,2010-01-12,US STOCKS-Wall St lower after subpar start to earnings season,Rise,0.0084,61,stock wall lower after subpar start earnings season,51,8,2,stock,2010,578
1411,nifty_3,2010-01-12,"Research and Markets: Network Communication Equipment Industry Report, 2009",Rise,0.0084,75,research and market network communication equipment industry report,67,8,7,telecom industry,2010,472
1422,nifty_3,2010-01-12,"UPDATE 3-Hartford boosts Q4 earnings view, shares jump",Rise,0.0084,54,update hartford boost earnings view share jump,46,7,1,quarterly results (1),2010,828
1454,nifty_3,2010-01-12,"""Extraordinary"" increases in drug prices: report",Rise,0.0084,48,extraordinary increase drug price report,40,5,0,pharmacy,2010,673
1468,nifty_3,2010-01-12,TREASURIES-Bonds gain as stocks retreat; 3-yr auction ahead,Rise,0.0084,59,treasury bond gain stock retreat auction ahead,46,7,10,treasury,2010,367
1470,nifty_3,2010-01-12,"US STOCKS SNAPSHOT-Wall St hit by Alcoa, bank jitters",Rise,0.0084,53,stock snapshot wall hit alcoa bank jitter,41,7,2,stock,2010,578
1484,nifty_3,2010-01-12,Research and Markets: Global Store Back Office (SBO) Software Market In Retail Industry 2008-2012 Report Discusses The Segmentation Of The Total SBO Software Market,Rise,0.0084,164,research and market global store back office sbo software market retail industry report discusses the segmentation the total sbo software market,144,21,7,telecom industry,2010,472
1486,nifty_3,2010-01-12,"US STOCKS-Wall St lower on earnings, bank jitters",Rise,0.0084,49,stock wall lower earnings bank jitter,37,6,2,stock,2010,578
1511,nifty_3,2010-01-12,Alcoa stock drops as Wall St digests quarterly results,Rise,0.0084,54,alcoa stock drop wall digest quarterly result,45,7,2,stock,2010,578
1516,nifty_3,2010-01-12,Amgen sees 2009 profit near low end of its view,Rise,0.0084,47,amgen see profit near low end it view,37,8,1,quarterly results (1),2010,828
1520,nifty_3,2010-01-12,TREASURIES-Prices trim gains a bit after 3-year note sale,Rise,0.0084,57,treasury price trim gain bit after year note sale,49,9,10,treasury,2010,367
1525,nifty_3,2010-01-12,U.S. 3-year notes auction met with firm demand,Rise,0.0084,46,year note auction met with firm demand,38,7,10,treasury,2010,367
1530,nifty_3,2010-01-12,UPDATE 4-MetroPCS weak 2010 margin forecast knocks shares,Rise,0.0084,57,update metropcs weak margin forecast knock share,48,7,1,quarterly results (1),2010,828
1537,nifty_3,2010-01-12,"TREASURIES-Bonds rally on stock drop, solid bid at 3Y sale",Rise,0.0084,58,treasury bond rally stock drop solid bid sale,45,8,10,treasury,2010,367
1552,nifty_3,2010-01-12,UPDATE 3-Supervalu profit beats Street; shares rise,Rise,0.0084,51,update supervalu profit beat street share rise,46,7,1,quarterly results (1),2010,828
1563,nifty_3,2010-01-12,Supervalu profit beats Street; shares rise,Rise,0.0084,42,supervalu profit beat street share rise,39,6,1,quarterly results (1),2010,828
1578,nifty_3,2010-01-12,UPDATE 3-Amgen sees 2009 profit near low end of its view,Rise,0.0084,56,update amgen see profit near low end it view,44,9,1,quarterly results (1),2010,828
1581,nifty_3,2010-01-12,"US STOCKS-Wall St drops on bank levy fears, Alcoa miss",Rise,0.0084,54,stock wall drop bank levy fear alcoa miss,41,8,2,stock,2010,578
1595,nifty_3,2010-01-12,TREASURIES-Bonds jump as stocks falter; 3Y debt sale solid,Rise,0.0084,58,treasury bond jump stock falter debt sale solid,47,8,10,treasury,2010,367
1604,nifty_3,2010-01-12,"US STOCKS SNAPSHOT-Market ends down on Alcoa, bank jitters",Rise,0.0084,58,stock snapshot market end down alcoa bank jitter,48,8,2,stock,2010,578
1631,nifty_3,2010-01-12,"US STOCKS-Wall St drops on bank levy worries, Alcoa",Rise,0.0084,51,stock wall drop bank levy worry alcoa,37,7,2,stock,2010,578
1633,nifty_3,2010-01-12,"Suncor says asset sales on track, to cut more jobs",Rise,0.0084,50,suncor say asset sale track cut more job,40,8,1,quarterly results (1),2010,828
1636,nifty_3,2010-01-12,UPDATE 1-Culp raises Q3 sales view; shares rise,Rise,0.0084,47,update culp raise sale view share rise,38,7,1,quarterly results (1),2010,828
1640,nifty_3,2010-01-12,UPDATE 1-Big 5 Sporting cuts top end of Q4 earnings view,Rise,0.0084,56,update big sporting cut top end earnings view,45,8,1,quarterly results (1),2010,828
1707,nifty_3,2010-01-12,Wall St indices closing - Nov 12,Rise,0.0084,32,wall index closing nov,22,4,2,stock,2010,578
1743,nifty_3,2010-01-12,US says all nations need to keep cyber network safe,Rise,0.0084,51,say all nation need keep cyber network safe,43,8,4,cybersecurity,2010,437
1801,nifty_3,2010-01-12,Health Mailbox: Columnist Melinda Beck Answers Readers' Questions,Rise,0.0084,65,health mailbox columnist melinda beck answer reader question,60,8,0,pharmacy,2010,673
1853,nifty_5,2010-01-14,Getinge Group: Getinge To Further Streamline Its Operations and Submits an Updated Earnings Outlook for the 2009 Financial Year,Fall,-0.0112,127,getinge group getinge further streamline it operation and submits updated earnings outlook for the financial year,113,16,1,quarterly results (1),2010,828
1856,nifty_5,2010-01-14,Law firm in Green Dam suit targeted with cyber-attack,Fall,-0.0112,53,law firm green dam suit targeted with cyber attack,50,9,4,cybersecurity,2010,437
1858,nifty_5,2010-01-14,UPDATE 1-Datatec reaffirms FY profit forecasts,Fall,-0.0112,46,update datatec reaffirms profit forecast,40,5,1,quarterly results (1),2010,828
1903,nifty_5,2010-01-14,U.S. stock futures mixed ahead of Intel earnings,Fall,-0.0112,48,stock future mixed ahead intel earnings,39,6,2,stock,2010,578
1924,nifty_5,2010-01-14,Webfargo Data Security Celebrates Banner Year,Fall,-0.0112,45,webfargo data security celebrates banner year,45,6,4,cybersecurity,2010,437
1943,nifty_5,2010-01-14,"Research and Markets: South Korea, With a User Penetration of Over 77%, Leads the Regional Market in Asia with a Broadband Subscriber Penetration Of 32% According To This 2009 Survey",Fall,-0.0112,182,research and market south korea with user penetration over lead the regional market asia with broadband subscriber penetration according this survey,148,21,7,telecom industry,2010,472
1959,nifty_5,2010-01-14,Service Providers Recognize the Need to Invest to Maximize Opportunities and Meet the Demands of the Connected World,Fall,-0.0112,116,service provider recognize the need invest maximize opportunity and meet the demand the connected world,103,15,7,telecom industry,2010,472
1966,nifty_5,2010-01-14,BioInvent Announces a Directed New Share Issue of SEK 150 Million,Fall,-0.0112,65,bioinvent announces directed new share issue sek million,56,8,0,pharmacy,2010,673
1974,nifty_5,2010-01-14,"Research and Markets: The Future of Metabolic Disorder Therapeutics - Market Forecasts to 2015, Competitive Benchmarking, Product Pipeline and Deals Analysis",Fall,-0.0112,157,research and market the future metabolic disorder therapeutic market forecast competitive benchmarking product pipeline and deal analysis,137,17,0,pharmacy,2010,673
1983,nifty_5,2010-01-14,Perimeter E-Security Ranks the Top 10 Information Security Threats for 2010,Fall,-0.0112,75,perimeter security rank the top information security threat for,63,9,4,cybersecurity,2010,437
1989,nifty_5,2010-01-14, Unified Communications to Grow by 50% to $30 Billion by 2013,Fall,-0.0112,61,unified communication grow billion,34,4,7,telecom industry,2010,472
2002,nifty_5,2010-01-14,Research and Markets: 2010 Report Forecasts the Market Size of the Medical Devices Market in Europe for 2008-2012,Fall,-0.0112,113,research and market report forecast the market size the medical device market europe for,88,14,0,pharmacy,2010,673
2014,nifty_5,2010-01-14,US STOCKS-Futures dip as investors await Intel results,Fall,-0.0112,54,stock future dip investor await intel result,44,7,2,stock,2010,578
2023,nifty_5,2010-01-14,"Research and Markets: The Global Pharmaceutical Packaging Market is Forecast to Grow at a CAGR of 6.9% between 2008 and 2015, Reaching a Value of $68 Billion by 2015",Fall,-0.0112,165,research and market the global pharmaceutical packaging market forecast grow cagr between and reaching value billion,116,16,0,pharmacy,2010,673
2030,nifty_5,2010-01-14,"SAIC To Acquire Cybersecurity Solutions Provider CloudShield Technologies, Inc.",Fall,-0.0112,79,saic acquire cybersecurity solution provider cloudshield technology inc,71,8,4,cybersecurity,2010,437
2075,nifty_5,2010-01-14,CORRECTED - US STOCKS-Futures up as investors await Intel results,Fall,-0.0112,65,corrected stock future investor await intel result,50,7,2,stock,2010,578
2082,nifty_5,2010-01-14,Research and Markets: Digital Rights Management (DRM) - International Market Trends,Fall,-0.0112,83,research and market digital right management drm international market trend,75,10,7,telecom industry,2010,472
2095,nifty_5,2010-01-14,US STOCKS SNAPSHOT-S&P; futures trim gains after data,Fall,-0.0112,53,stock snapshot future trim gain after data,42,7,2,stock,2010,578
2097,nifty_5,2010-01-14,"U.S. Treasuries add to gains after retail sales, jobless data",Fall,-0.0112,61,treasury add gain after retail sale jobless data,48,8,10,treasury,2010,367
2137,nifty_5,2010-01-14,"Lieberman Software Presents Webinar on ""Securing Federal Information Systems: Privileged Identity Management""",Fall,-0.0112,109,lieberman software present webinar securing federal information system privileged identity management,101,11,4,cybersecurity,2010,437
