,id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name,Entities,IsEntity
681,nifty_2,2010-01-11,Mexx Worldwide Strengthens Product Team,Fall,-0.0093,39,mexx worldwide strengthens product team,39,5,0,pharmacy,"['me', '##x', '##x', 'worldwide', 'strengthen', '##s', 'product', 'team']",1
734,nifty_2,2010-01-11,FDA Unveils First Phase of Transparency Initiative,Fall,-0.0093,50,fda unveils first phase transparency initiative,47,6,0,pharmacy,"['f', '##da', 'un', '##ve', '##ils', 'first', 'phase', 'transparency', 'initiative']",1
764,nifty_2,2010-01-11,"UPDATE 1-Molecular Insight cuts job, shares fall",Fall,-0.0093,48,update molecular insight cut job share fall,43,7,0,pharmacy,"['update', 'molecular', 'insight', 'cut', 'job', 'share', 'fall']",1
771,nifty_2,2010-01-11,New GAO Study: Lack of Competition Helping Drive `Extraordinary` Brand-Name Drug Price Increases,Fall,-0.0093,96,new gao study lack competition helping drive extraordinary brand name drug price increase,89,13,0,pharmacy,"['new', 'g', '##ao', 'study', 'lack', 'competition', 'helping', 'drive', 'extraordinary', 'brand', 'name', 'drug', 'price', 'increase']",1
778,nifty_2,2010-01-11,"US GAO finds ""extraordinary"" increases in drug prices",Fall,-0.0093,53,gao find extraordinary increase drug price,42,6,0,pharmacy,"['g', '##ao', 'find', 'extraordinary', 'increase', 'drug', 'price']",1
792,nifty_2,2010-01-11,AHF Blasts Merck on AIDS Drug Pricing During Investor Conference Protest in S.F.,Fall,-0.0093,80,ahf blast merck aid drug pricing during investor conference protest,67,10,0,pharmacy,"['ah', '##f', 'blast', 'me', '##rc', '##k', 'aid', 'drug', 'pricing', 'during', 'investor', 'conference', 'protest']",1
827,nifty_2,2010-01-11,Research and Markets: New Report: OTC Healthcare in China to 2013,Fall,-0.0093,65,research and market new report otc healthcare china,51,8,0,pharmacy,"['research', 'and', 'market', 'new', 'report', 'o', '##t', '##c', 'healthcare', 'chin', '##a']",1
973,nifty_3,2010-01-12,Research and Markets: Pharma Bio World: Annual Subscription for Senior Professionals in the Pharmaceutical and Biotechnology Sectors,Rise,0.0084,132,research and market pharma bio world annual subscription for senior professional the pharmaceutical and biotechnology sector,124,16,0,pharmacy,"['research', 'and', 'market', 'p', '##har', '##ma', 'bio', 'world', 'annual', 'subscription', 'for', 'senior', 'professional', 'the', 'pharmaceutical', 'and', 'bio', '##tech', '##nology', 'sector']",1
1028,nifty_3,2010-01-12,AHF Blasts Merck on AIDS Drug Pricing During Investor Conference Protest in S.F.,Rise,0.0084,80,ahf blast merck aid drug pricing during investor conference protest,67,10,0,pharmacy,"['ah', '##f', 'blast', 'me', '##rc', '##k', 'aid', 'drug', 'pricing', 'during', 'investor', 'conference', 'protest']",1
1065,nifty_3,2010-01-12, Medical Care Technologies Inc. Completes International Secure Practice Management Suite for Testing in China,Rise,0.0084,109,medical care technology inc completes international secure practice management suite for testing china,102,13,0,pharmacy,"['medical', 'care', 'technology', 'in', '##c', 'complete', '##s', 'international', 'secure', 'practice', 'management', 'suite', 'for', 'testing', 'chin', '##a']",1
1077,nifty_3,2010-01-12,Molecular Biometrics Closes $12.5 Million Series B Equity Funding,Rise,0.0084,65,molecular biometrics close million series equity funding,56,7,0,pharmacy,"['molecular', 'bio', '##metric', '##s', 'close', 'million', 'series', 'equity', 'funding']",1
1117,nifty_3,2010-01-12,Gaco Western`s WallFoam 184 BIO Offers Green Upside in Down Market,Rise,0.0084,66,gaco western wallfoam bio offer green upside down market,56,9,0,pharmacy,"['g', '##aco', 'western', 'wall', '##fo', '##am', 'bio', 'offer', 'green', 'upside', 'down', 'market']",1
1156,nifty_3,2010-01-12," Allocade Featured in Spinoff, NASA's Annual Premier Publication Highlighting Successfully Commercialized Technology",Rise,0.0084,116,allocade featured spinoff nasa annual premier publication highlighting successfully commercialized technology,109,11,0,pharmacy,"['all', '##oc', '##ade', 'featured', 'spin', '##off', 'na', '##sa', 'annual', 'premier', 'publication', 'highlighting', 'successfully', 'commercial', '##ized', 'technology']",1
1166,nifty_3,2010-01-12,Biogen Idec to Provide Business Update at Investor Meeting,Rise,0.0084,58,biogen idec provide business update investor meeting,52,7,0,pharmacy,"['bio', '##gen', 'id', '##ec', 'provide', 'business', 'update', 'investor', 'meeting']",1
1231,nifty_3,2010-01-12,"BioLeap, Inc. Secures $5M Series A Financing from Adams Capital Management and Quaker BioVentures",Rise,0.0084,97,bioleap inc secures series financing from adam capital management and quaker bioventures,88,12,0,pharmacy,"['bio', '##lea', '##p', 'in', '##c', 'secure', '##s', 'series', 'financing', 'from', 'ad', '##am', 'capital', 'management', 'and', 'q', '##ua', '##ker', 'bio', '##vent', '##ures']",1
1267,nifty_3,2010-01-12,FDA Unveils First Phase of Transparency Initiative,Rise,0.0084,50,fda unveils first phase transparency initiative,47,6,0,pharmacy,"['f', '##da', 'un', '##ve', '##ils', 'first', 'phase', 'transparency', 'initiative']",1
1454,nifty_3,2010-01-12,"""Extraordinary"" increases in drug prices: report",Rise,0.0084,48,extraordinary increase drug price report,40,5,0,pharmacy,"['extraordinary', 'increase', 'drug', 'price', 'report']",1
1801,nifty_3,2010-01-12,Health Mailbox: Columnist Melinda Beck Answers Readers' Questions,Rise,0.0084,65,health mailbox columnist melinda beck answer reader question,60,8,0,pharmacy,"['health', 'mail', '##box', 'columnist', 'me', '##lind', '##a', 'be', '##ck', 'answer', 'reader', 'question']",1
1966,nifty_5,2010-01-14,BioInvent Announces a Directed New Share Issue of SEK 150 Million,Fall,-0.0112,65,bioinvent announces directed new share issue sek million,56,8,0,pharmacy,"['bio', '##in', '##vent', 'announces', 'directed', 'new', 'share', 'issue', 'se', '##k', 'million']",1
1974,nifty_5,2010-01-14,"Research and Markets: The Future of Metabolic Disorder Therapeutics - Market Forecasts to 2015, Competitive Benchmarking, Product Pipeline and Deals Analysis",Fall,-0.0112,157,research and market the future metabolic disorder therapeutic market forecast competitive benchmarking product pipeline and deal analysis,137,17,0,pharmacy,"['research', 'and', 'market', 'the', 'future', 'metabolic', 'disorder', 'therapeutic', 'market', 'forecast', 'competitive', 'bench', '##mark', '##ing', 'product', 'pipeline', 'and', 'deal', 'analysis']",1
2002,nifty_5,2010-01-14,Research and Markets: 2010 Report Forecasts the Market Size of the Medical Devices Market in Europe for 2008-2012,Fall,-0.0112,113,research and market report forecast the market size the medical device market europe for,88,14,0,pharmacy,"['research', 'and', 'market', 'report', 'forecast', 'the', 'market', 'size', 'the', 'medical', 'device', 'market', 'euro', '##pe', 'for']",1
2023,nifty_5,2010-01-14,"Research and Markets: The Global Pharmaceutical Packaging Market is Forecast to Grow at a CAGR of 6.9% between 2008 and 2015, Reaching a Value of $68 Billion by 2015",Fall,-0.0112,165,research and market the global pharmaceutical packaging market forecast grow cagr between and reaching value billion,116,16,0,pharmacy,"['research', 'and', 'market', 'the', 'global', 'pharmaceutical', 'packaging', 'market', 'forecast', 'grow', 'ca', '##g', '##r', 'between', 'and', 'reaching', 'value', 'billion']",1
2282,nifty_5,2010-01-14," RemoteMDx, Inc. Announces $21.8M Recapitalization and Equity Raise",Fall,-0.0112,67,remotemdx inc announces recapitalization and equity raise,57,7,0,pharmacy,"['remote', '##m', '##d', '##x', 'in', '##c', 'announces', 're', '##cap', '##ital', '##ization', 'and', 'equity', 'raise']",1
2374,nifty_5,2010-01-14,AREVA: Bioenergies: Contracts Worth 260 Million Euros,Fall,-0.0112,53,areva bioenergies contract worth million euro,45,6,0,pharmacy,"['are', '##va', 'bio', '##ener', '##gies', 'contract', 'worth', 'million', 'euro']",1
2386,nifty_5,2010-01-14,Risk still a red flag for biotech deals,Fall,-0.0112,39,risk still red flag for biotech deal,36,7,0,pharmacy,"['risk', 'still', 'red', 'flag', 'for', 'bio', '##tech', 'deal']",1
2547,nifty_5,2010-01-14, Medical Care Technologies Inc. Launches Secure Care-Giving Technology to Promote Independent Living,Fall,-0.0112,100,medical care technology inc launch secure care giving technology promote independent living,91,12,0,pharmacy,"['medical', 'care', 'technology', 'in', '##c', 'launch', 'secure', 'care', 'giving', 'technology', 'promote', 'independent', 'living']",1
2887,nifty_7,2010-01-20,Research and Markets: Brain Tumor - Drug Pipeline Analysis and Market Forecasts to 2016,Fall,-0.0192,87,research and market brain tumor drug pipeline analysis and market forecast,74,11,0,pharmacy,"['research', 'and', 'market', 'brain', 'tumor', 'drug', 'pipeline', 'analysis', 'and', 'market', 'forecast']",1
2952,nifty_7,2010-01-20,"Medical Connections, Inc. Provides Corporate Update to the Financial Community",Fall,-0.0192,78,medical connection inc provides corporate update the financial community,72,9,0,pharmacy,"['medical', 'connection', 'in', '##c', 'provides', 'corporate', 'update', 'the', 'financial', 'community']",1
2973,nifty_7,2010-01-20,"Research and Markets: Innovations in Epigenetics: Advances in Technologies, Diagnostics & Therapeutics",Fall,-0.0192,102,research and market innovation epigenetics advance technology diagnostics therapeutic,85,9,0,pharmacy,"['research', 'and', 'market', 'innovation', 'e', '##pi', '##gene', '##tics', 'advance', 'technology', 'diagnostic', '##s', 'therapeutic']",1
2989,nifty_7,2010-01-20,Research and Markets: Migraine - Drug Pipeline Analysis and Market Forecasts to 2016,Fall,-0.0192,84,research and market migraine drug pipeline analysis and market forecast,71,10,0,pharmacy,"['research', 'and', 'market', 'mi', '##gra', '##ine', 'drug', 'pipeline', 'analysis', 'and', 'market', 'forecast']",1
3010,nifty_7,2010-01-20,"Research and Markets: The Cancer Market Outlook to 2014: Competitive Landscape, Market Size, Pipeline Analysis and Growth Opportunities",Fall,-0.0192,135,research and market the cancer market outlook competitive landscape market size pipeline analysis and growth opportunity,120,16,0,pharmacy,"['research', 'and', 'market', 'the', 'cancer', 'market', 'outlook', 'competitive', 'landscape', 'market', 'size', 'pipeline', 'analysis', 'and', 'growth', 'opportunity']",1
3021,nifty_7,2010-01-20,"ANALYSIS-""Silent pandemic"" will force drug price rethink",Fall,-0.0192,56,analysis silent pandemic will force drug price rethink,54,8,0,pharmacy,"['analysis', 'silent', 'pan', '##de', '##mic', 'will', 'force', 'drug', 'price', 're', '##thin', '##k']",1
3023,nifty_7,2010-01-20,"""Silent pandemic"" will force drug price rethink",Fall,-0.0192,47,silent pandemic will force drug price rethink,45,7,0,pharmacy,"['silent', 'pan', '##de', '##mic', 'will', 'force', 'drug', 'price', 're', '##thin', '##k']",1
3214,nifty_7,2010-01-20,"A Recovery Act Success Story:  NIH Funding of Biomedical Innovation Is Creating Jobs, Fueling Industry Growth, and Helping Reduce Long-term Health Care Costs",Fall,-0.0192,157,recovery act success story nih funding biomedical innovation creating job fueling industry growth and helping reduce long term health care cost,143,21,0,pharmacy,"['recovery', 'act', 'success', 'story', 'ni', '##h', 'funding', 'bio', '##medical', 'innovation', 'creating', 'job', 'fuel', '##ing', 'industry', 'growth', 'and', 'helping', 'reduce', 'long', 'term', 'health', 'care', 'cost']",1
3265,nifty_7,2010-01-20,"A Recovery Act Success Story: NIH Funding of Biomedical Innovation is Creating Jobs,  Fueling Industry Growth, and Helping Reduce Long-term Health Care Costs",Fall,-0.0192,157,recovery act success story nih funding biomedical innovation creating job fueling industry growth and helping reduce long term health care cost,143,21,0,pharmacy,"['recovery', 'act', 'success', 'story', 'ni', '##h', 'funding', 'bio', '##medical', 'innovation', 'creating', 'job', 'fuel', '##ing', 'industry', 'growth', 'and', 'helping', 'reduce', 'long', 'term', 'health', 'care', 'cost']",1
3300,nifty_7,2010-01-20,"Research and Markets: Toxicology and Pharmacology Report: Outsourcing, History, Process and Regulation; Technical, Political and Economic Challenges",Fall,-0.0192,148,research and market toxicology and pharmacology report outsourcing history process and regulation technical political and economic challenge,140,17,0,pharmacy,"['research', 'and', 'market', 'toxic', '##ology', 'and', 'p', '##har', '##ma', '##cology', 'report', 'outs', '##our', '##cing', 'history', 'process', 'and', 'regulation', 'technical', 'political', 'and', 'economic', 'challenge']",1
3407,nifty_7,2010-01-20,Amylin Pharmaceuticals to Webcast Year-End Financial Results,Fall,-0.0192,60,amylin pharmaceutical webcast year end financial result,55,7,0,pharmacy,"['am', '##yl', '##in', 'pharmaceutical', 'web', '##cast', 'year', 'end', 'financial', 'result']",1
3590,nifty_7,2010-01-20,"For Severely Ill Kids, a Dearth of Doctors",Fall,-0.0192,42,for severely ill kid dearth doctor,34,6,0,pharmacy,"['for', 'severely', 'ill', 'kid', 'dear', '##th', 'doctor']",1
3765,nifty_11,2010-01-27,Research and Markets: Japan Pharmaceuticals and Healthcare Report Q1 2010,Fall,-0.0115,73,research and market japan pharmaceutical and healthcare report,62,8,0,pharmacy,"['research', 'and', 'market', 'j', '##apa', '##n', 'pharmaceutical', 'and', 'healthcare', 'report']",1
3779,nifty_11,2010-01-27,Research and Markets: Colombia Pharmaceuticals and Healthcare Report Q1 2010,Fall,-0.0115,76,research and market colombia pharmaceutical and healthcare report,65,8,0,pharmacy,"['research', 'and', 'market', 'co', '##lo', '##mb', '##ia', 'pharmaceutical', 'and', 'healthcare', 'report']",1
3877,nifty_11,2010-01-27,International Stem Cell Corporation joins Information Portal StockProfile.com,Fall,-0.0115,77,international stem cell corporation join information portal stockprofile com,76,9,0,pharmacy,"['international', 'stem', 'cell', 'corporation', 'join', 'information', 'portal', 'stock', '##p', '##ro', '##fi', '##le', 'com']",1
3946,nifty_11,2010-01-27,Somaxon Pharmaceuticals to Present at the 12th Annual BIO CEO & Investor Conference,Fall,-0.0115,83,somaxon pharmaceutical present the annual bio ceo investor conference,69,9,0,pharmacy,"['so', '##max', '##on', 'pharmaceutical', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
4004,nifty_11,2010-01-27,China Biologic Products Responds to Allegations on Financial Websites,Fall,-0.0115,69,china biologic product responds allegation financial website,60,7,0,pharmacy,"['chin', '##a', 'bio', '##log', '##ic', 'product', 'responds', 'all', '##egation', 'financial', 'website']",1
4125,nifty_11,2010-01-27,"Research and Markets: According to Market Analytical Studies, the Therapeutic Lung Cancer Drug Market Is Predicted to Exceed $4 Billion between 2010 and 2015",Fall,-0.0115,157,research and market according market analytical study the therapeutic lung cancer drug market predicted exceed billion between and,130,18,0,pharmacy,"['research', 'and', 'market', 'according', 'market', 'analytical', 'study', 'the', 'therapeutic', 'lung', 'cancer', 'drug', 'market', 'predicted', 'exceed', 'billion', 'between', 'and']",1
4166,nifty_11,2010-01-27,International Decision Systems(R) Announces ProFinia(R) Release 4.2,Fall,-0.0115,67,international decision system announces profinia release,56,6,0,pharmacy,"['international', 'decision', 'system', 'announces', 'pro', '##fin', '##ia', 'release']",1
4308,nifty_11,2010-01-27,Valuations and Exit Strategies for Medtech Companies in the New Economy Analyzed in Online Industry Presentation by Medical Capital Advisors Chairman & CEO Christopher J.P. Velis,Fall,-0.0115,178,valuation and exit strategy for medtech company the new economy analyzed online industry presentation medical capital advisor chairman ceo christopher velis,156,21,0,pharmacy,"['v', '##al', '##uation', 'and', 'exit', 'strategy', 'for', 'me', '##dt', '##ech', 'company', 'the', 'new', 'economy', 'analyzed', 'online', 'industry', 'presentation', 'medical', 'capital', 'advisor', 'chairman', 'c', '##eo', 'ch', '##risto', '##pher', 've', '##lis']",1
4349,nifty_11,2010-01-27,Synygy and Health Market Science Form Strategic Partnership,Fall,-0.0115,59,synygy and health market science form strategic partnership,59,8,0,pharmacy,"['s', '##yn', '##y', '##gy', 'and', 'health', 'market', 'science', 'form', 'strategic', 'partnership']",1
4423,nifty_11,2010-01-27, Molecular Insight Announces Updates to Board of Directors,Fall,-0.0115,58,molecular insight announces update board director,49,6,0,pharmacy,"['molecular', 'insight', 'announces', 'update', 'board', 'director']",1
4799,nifty_13,2010-02-01,SuperGen to Present at BIO CEO & Investor Conference on February 8th,Rise,0.0121,68,supergen present bio ceo investor conference february,53,7,0,pharmacy,"['super', '##gen', 'present', 'bio', 'c', '##eo', 'investor', 'conference', 'f', '##eb', '##ru', '##ary']",1
4845,nifty_13,2010-02-01,Cyclacel Pharmaceuticals to Present at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,84,cyclacel pharmaceutical present the annual bio ceo investor conference,70,9,0,pharmacy,"['c', '##y', '##c', '##lace', '##l', 'pharmaceutical', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
4873,nifty_13,2010-02-01,GenVec to Present at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,66,genvec present the annual bio ceo investor conference,53,8,0,pharmacy,"['g', '##en', '##ve', '##c', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
4912,nifty_13,2010-02-01,Affymax to Present at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,67,affymax present the annual bio ceo investor conference,54,8,0,pharmacy,"['a', '##ffy', '##max', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
4921,nifty_13,2010-02-01,Response Biomedical Announces Additional Chinese Partnership,Rise,0.0121,60,response biomedical announces additional chinese partnership,60,6,0,pharmacy,"['response', 'bio', '##medical', 'announces', 'additional', 'chin', '##ese', 'partnership']",1
4928,nifty_13,2010-02-01,Research and Markets: 2010 Trends to Watch: Pharmaceutical Technology,Rise,0.0121,69,research and market trend watch pharmaceutical technology,57,7,0,pharmacy,"['research', 'and', 'market', 'trend', 'watch', 'pharmaceutical', 'technology']",1
4952,nifty_13,2010-02-01,Research and Markets: 2010 Trends to Watch: Healthcare Technology,Rise,0.0121,65,research and market trend watch healthcare technology,53,7,0,pharmacy,"['research', 'and', 'market', 'trend', 'watch', 'healthcare', 'technology']",1
4953,nifty_13,2010-02-01,RXi Pharmaceuticals to Webcast Presentation at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,92,rxi pharmaceutical webcast presentation the annual bio ceo investor conference,78,10,0,pharmacy,"['r', '##xi', 'pharmaceutical', 'web', '##cast', 'presentation', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
4971,nifty_13,2010-02-01,CytRx to Present at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,65,cytrx present the annual bio ceo investor conference,52,8,0,pharmacy,"['c', '##yt', '##r', '##x', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
5021,nifty_13,2010-02-01," MDRNA, Inc. to Present at the 12th Annual BIO CEO & Investor Conference",Rise,0.0121,72,mdrna inc present the annual bio ceo investor conference,56,9,0,pharmacy,"['m', '##dr', '##na', 'in', '##c', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
5026,nifty_13,2010-02-01,"BioSpec Global Solutions Inc, takes delivery of new TOG's 3000 Home edition for the U.S. and international markets",Rise,0.0121,114,biospec global solution inc take delivery new tog home edition for the and international market,95,15,0,pharmacy,"['bio', '##sp', '##ec', 'global', 'solution', 'in', '##c', 'take', 'delivery', 'new', 'to', '##g', 'home', 'edition', 'for', 'the', 'and', 'international', 'market']",1
5027,nifty_13,2010-02-01," Multinational Medtech Companies and Savvy Medtech Investors Will Reveal Investment, M&A; and Partnering Preferences at",Rise,0.0121,119,multinational medtech company and savvy medtech investor will reveal investment and partnering preference,105,13,0,pharmacy,"['multinational', 'me', '##dt', '##ech', 'company', 'and', 'sa', '##v', '##vy', 'me', '##dt', '##ech', 'investor', 'will', 'reveal', 'investment', 'and', 'partner', '##ing', 'preference']",1
5029,nifty_13,2010-02-01,Infinitus Clinical Research Consolidates- Sino-Indian CRO Enhances Core Capabilities,Rise,0.0121,84,infinitus clinical research consolidates sino indian cro enhances core capability,81,10,0,pharmacy,"['in', '##fin', '##it', '##us', 'clinical', 'research', 'con', '##solidate', '##s', 'sin', '##o', 'in', '##dian', 'c', '##ro', 'enhance', '##s', 'core', 'capability']",1
5127,nifty_13,2010-02-01,Research and Markets: The Bioeconomy to 2030: Designing a Policy Agenda,Rise,0.0121,71,research and market the bioeconomy designing policy agenda,58,8,0,pharmacy,"['research', 'and', 'market', 'the', 'bio', '##ec', '##onomy', 'designing', 'policy', 'agenda']",1
5151,nifty_13,2010-02-01, New Report Analyzes the U.S. Diagnostic and Medical Labs Industry,Rise,0.0121,66,new report analyzes the diagnostic and medical lab industry,59,9,0,pharmacy,"['new', 'report', 'analyze', '##s', 'the', 'diagnostic', 'and', 'medical', 'lab', 'industry']",1
5360,nifty_13,2010-02-01,Research and Markets: Zimbabwe Pharmaceuticals and Healthcare Report Q1 2010,Rise,0.0121,76,research and market zimbabwe pharmaceutical and healthcare report,65,8,0,pharmacy,"['research', 'and', 'market', 'z', '##im', '##ba', '##b', '##we', 'pharmaceutical', 'and', 'healthcare', 'report']",1
5362,nifty_13,2010-02-01,Array BioPharma to Present at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,75,array biopharma present the annual bio ceo investor conference,62,9,0,pharmacy,"['array', 'bio', '##pha', '##rma', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
5457,nifty_13,2010-02-01, Cytokinetics to Present at BIO CEO and Investor Conference,Rise,0.0121,59,cytokinetics present bio ceo and investor conference,52,7,0,pharmacy,"['c', '##yt', '##oki', '##net', '##ics', 'present', 'bio', 'c', '##eo', 'and', 'investor', 'conference']",1
5476,nifty_13,2010-02-01,Idenix Pharmaceuticals To Present at 12th Annual BIO CEO & Investor Conference,Rise,0.0121,78,idenix pharmaceutical present annual bio ceo investor conference,64,8,0,pharmacy,"['id', '##eni', '##x', 'pharmaceutical', 'present', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
5487,nifty_13,2010-02-01,Curis to Present at the 12th Annual BIO CEO & Investor Conference,Rise,0.0121,65,curis present the annual bio ceo investor conference,52,8,0,pharmacy,"['cu', '##ris', 'present', 'the', 'annual', 'bio', 'c', '##eo', 'investor', 'conference']",1
5602,nifty_13,2010-02-01,BNA Books' New 2009 Cumulative Supplement to 'E-Health Business and Transactional Law' Provides Vital Information for an Industry Increasingly Reliant on Information Technology,Rise,0.0121,176,bna book new cumulative supplement health business and transactional law provides vital information for industry increasingly reliant information technology,156,19,0,pharmacy,"['b', '##na', 'book', 'new', 'cumulative', 'supplement', 'health', 'business', 'and', 'transaction', '##al', 'law', 'provides', 'vital', 'information', 'for', 'industry', 'increasingly', 're', '##lian', '##t', 'information', 'technology']",1
5882,nifty_22,2010-02-17,Aspirin Found to Aid Cancer Patients,Rise,0.0059,36,aspirin found aid cancer patient,32,5,0,pharmacy,"['as', '##pi', '##rin', 'found', 'aid', 'cancer', 'patient']",1
5958,nifty_25,2010-02-23,Don't Expect Miracles From Health Confab,Rise,0.0092,40,don expect miracle from health confab,37,6,0,pharmacy,"['don', 'expect', 'miracle', 'from', 'health', 'con', '##fa', '##b']",1
6048,nifty_29,2010-03-02,Drug to Help Transplants Wins Support,Neutral,0.0009,37,drug help transplant win support,32,5,0,pharmacy,"['drug', 'help', 'transplant', 'win', 'support']",1
6107,nifty_30,2010-03-03,China Medical Technologies Reports Third Fiscal Quarter Financial Results,Neutral,0.003,73,china medical technology report third fiscal quarter financial result,69,9,0,pharmacy,"['chin', '##a', 'medical', 'technology', 'report', 'third', 'fiscal', 'quarter', 'financial', 'result']",1
6140,nifty_30,2010-03-03,"Research and Markets: Pharmaceuticals Manufacturing Analysis: Approx 1,500 Companies with Combined Annual Revenue of $200+ Billion",Neutral,0.003,130,research and market pharmaceutical manufacturing analysis approx company with combined annual revenue billion,109,13,0,pharmacy,"['research', 'and', 'market', 'pharmaceutical', 'manufacturing', 'analysis', 'approx', 'company', 'with', 'combined', 'annual', 'revenue', 'billion']",1
6288,nifty_30,2010-03-03,"Biostar Pharmaceuticals, Inc. to Present at the 2010 Rodman & Renshaw Annual China Investment Conference in Beijing",Neutral,0.003,115,biostar pharmaceutical inc present the rodman renshaw annual china investment conference beijing,96,12,0,pharmacy,"['bio', '##star', 'pharmaceutical', 'in', '##c', 'present', 'the', 'rod', '##man', 're', '##ns', '##haw', 'annual', 'chin', '##a', 'investment', 'conference', 'be', '##iji', '##ng']",1
6306,nifty_30,2010-03-03,BSD Medical Retains Financial Profiles for Investor Relations,Neutral,0.003,61,bsd medical retains financial profile for investor relation,59,8,0,pharmacy,"['b', '##s', '##d', 'medical', 'retains', 'financial', 'profile', 'for', 'investor', 'relation']",1
